Step,Junction,QueueLength,FuelConsumption,Reward
1127,J2,20,87523.92175363544,4.12
1127,J3,23,91083.92016022741,4.09
1127,J4,31,114934.43660115612,-8.15
1128,J1,20,78429.82175874762,5.22
1128,J2,18,86547.27219455491,1.13
1128,J3,19,81100.13300001381,3.19
1128,J4,31,136842.70136737174,-1.37
1129,J1,21,64455.96061310738,-1.64
1129,J2,22,77012.47093299845,-4.77
1129,J3,24,80800.61755075656,-5.81
1129,J4,26,106350.59449827763,3.94
1130,J1,17,74451.62793181837,3.26
1130,J2,19,81948.96695110617,2.18
1130,J3,25,87694.89389884107,-1.88
1130,J4,26,96735.4084052117,-0.97
1131,J1,21,65946.69715537506,-4.66
1131,J2,22,74658.60076534036,-3.75
1131,J3,21,76372.69388428162,3.24
1131,J4,27,105179.9581510063,-2.05
1132,J1,20,78272.70950006245,0.22
1132,J2,24,80799.61351889529,-2.81
1132,J3,21,80906.40241410336,-0.81
1132,J4,26,96703.38643097159,0.03
1133,J1,22,71799.4807965349,-2.72
1133,J2,27,77068.40622612213,-3.77
1133,J3,21,73980.04980456969,-0.74
1133,J4,27,97415.834988874,-1.97
1134,J1,19,65706.71439529506,2.34
1134,J2,28,93477.51316060027,-1.93
1134,J3,23,75791.3919906545,-2.76
1134,J4,26,73925.25506765206,0.26
1135,J1,18,71011.69270501878,0.29
1135,J2,22,78337.44026500388,5.22
1135,J3,23,93796.81610294429,-0.94
1135,J4,23,70843.49229010135,2.29
1136,J1,19,66274.1352580384,-1.66
1136,J2,20,62438.417723631675,1.38
1136,J3,23,80828.50021237815,-0.81
1136,J4,23,81243.45852451747,-0.81
1137,J1,20,73415.49125453623,-1.73
1137,J2,19,73797.40385935755,0.26
1137,J3,17,69254.78912031493,5.31
1137,J4,25,80970.99017189644,-2.81
1138,J1,21,64203.28192073679,-1.64
1138,J2,18,61153.91709144244,0.39
1138,J3,22,58902.9379617125,-5.59
1138,J4,21,73870.58016277982,3.26
1139,J1,22,74495.07692731114,-1.74
1139,J2,18,60569.294693205535,-0.61
1139,J3,18,80690.5142063655,3.19
1139,J4,18,72558.25166349318,2.27
1140,J1,24,81586.33553664274,-2.82
1140,J2,18,61879.28253990572,-0.62
1140,J3,20,59337.62482321241,-2.59
