Step,Agent,Action,Reason
359,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
360,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
361,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
362,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
363,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
364,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
365,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
366,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
367,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
368,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
369,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
370,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
371,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
372,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
373,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
374,SYSTEM,OVERRIDE,Ambulance detected at BETWEEN_J2_J4
380,J1,Green EW,High Congestion (40 cars). Clearing queue.
380,J2,Green EW,High Congestion (28 cars). Clearing queue.
380,J3,Green EW,High Congestion (24 cars). Clearing queue.
380,J4,Green EW,High Congestion (23 cars). Clearing queue.
390,J1,Green NS,High Congestion (18 cars). Clearing queue.
390,J2,Green EW,High Congestion (20 cars). Clearing queue.
390,J3,Green EW,High Congestion (33 cars). Clearing queue.
390,J4,Green NS,High Congestion (25 cars). Clearing queue.
391,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
392,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
393,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
394,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
395,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
396,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
397,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
398,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
399,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
400,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
401,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
402,SYSTEM,OVERRIDE,Ambulance detected at APPROACHING_J1_WEST
